;character_name;0;1;2;3;4;5;6;7;relative_count
235;QUIGLEY;0;0;0;3;0;0;0;3;4.199627325071173e-05
236;STEWART_ACKERLEY;0;0;0;3;0;0;0;3;4.199627325071173e-05
237;URQUHART;0;0;0;0;1;2;0;3;4.199627325071173e-05
238;VAISEY;0;0;0;0;0;3;0;3;4.199627325071173e-05
239;CORNELIUS_AGRIPPA;3;0;0;0;0;0;0;3;4.199627325071173e-05
240;ADALBART_SCHWAHFEL;1;0;0;0;0;0;1;2;2.7997515500474487e-05
241;AGNES;0;0;0;0;2;0;0;2;2.7997515500474487e-05
242;AMY_BENSON;0;0;0;0;0;2;0;2;2.7997515500474487e-05
243;ARAMINTA_BLACK;0;0;0;0;2;0;0;2;2.7997515500474487e-05
244;BERTRAM_AUBREY;0;0;0;0;0;2;0;2;2.7997515500474487e-05
245;AUGUSTA_LONGBOTTOM;0;0;0;0;0;2;0;2;2.7997515500474487e-05
246;BENJY_FENWICK;0;0;0;0;2;0;0;2;2.7997515500474487e-05
247;BERNIE_PILLSWORTH;0;0;0;0;0;0;2;2;2.7997515500474487e-05
248;BETTY_BRAITHWAITE;0;0;0;0;0;0;2;2;2.7997515500474487e-05
249;BORIS_THE_BEWILDERED;0;0;0;2;0;0;0;2;2.7997515500474487e-05
250;DAVID_BRADLEY;0;0;0;0;2;0;0;2;2.7997515500474487e-05
251;BRIAN_GAGWILDE;0;0;0;0;1;0;1;2;2.7997515500474487e-05
252;EDDIE_CARMICHAEL;0;0;0;0;2;0;0;2;2.7997515500474487e-05
253;CASSANDRA_TRELAWNEY;0;0;0;0;2;0;0;2;2.7997515500474487e-05
254;DILYS_DERWENT;0;0;0;0;1;0;1;2;2.7997515500474487e-05
255;IVOR_DILLONSBY;0;0;0;0;0;0;2;2;2.7997515500474487e-05
256;DRAGOMIR_GORGOVITCH;0;0;0;0;0;0;2;2;2.7997515500474487e-05
257;ENID_SMEEK;0;0;0;0;0;0;2;2;2.7997515500474487e-05
258;GLADYS_GUDGEON;0;1;0;0;1;0;0;2;2.7997515500474487e-05
259;LOXIAS;0;0;0;0;0;0;2;2;2.7997515500474487e-05
260;MISS_FAWCETT;0;1;0;1;0;0;0;2;2.7997515500474487e-05
261;MORGANA;2;0;0;0;0;0;0;2;2.7997515500474487e-05
262;RABASTAN_LESTRANGE;0;0;0;0;2;0;0;2;2.7997515500474487e-05
263;ROSIE_WEALSEY;0;0;0;0;0;0;2;2;2.7997515500474487e-05
264;VERONICA_SMETHLEY;0;2;0;0;0;0;0;2;2.7997515500474487e-05
265;AGATHA_TIMMS;0;0;0;1;0;0;0;1;1.3998757750237244e-05
266;ALBERICH_GRUNNION;1;0;0;0;0;0;0;1;1.3998757750237244e-05
267;ALFRED_CATTERMOLE;0;0;0;0;0;0;1;1;1.3998757750237244e-05
268;ALPHARD_BLACK;0;0;0;0;1;0;0;1;1.3998757750237244e-05
269;ANTIGONE_BUNGS;0;0;0;0;0;1;0;1;1.3998757750237244e-05
270;APOLLYON_PRINGLE;0;0;0;1;0;0;0;1;1.3998757750237244e-05
271;ARKIE_ALDERTON;0;0;0;0;0;0;1;1;1.3998757750237244e-05
272;ARKIE_PHILPOTT;0;0;0;0;0;1;0;1;1.3998757750237244e-05
273;RUPERT_BROOKSTANTON;0;0;0;0;0;1;0;1;1.3998757750237244e-05
274;HETTY_BAYLISS;0;1;0;0;0;0;0;1;1.3998757750237244e-05
275;MELINDA_BOBBIN;0;0;0;0;0;1;0;1;1.3998757750237244e-05
276;BOWMAN_WRIGHT;0;0;0;0;0;0;1;1;1.3998757750237244e-05
277;CICERON_HARKISS;0;0;0;0;0;1;0;1;1.3998757750237244e-05
278;DAMOCLES_BELBY;0;0;0;0;0;1;0;1;1.3998757750237244e-05
279;DAPHNE_GREENGRAS;0;0;0;0;1;0;0;1;1.3998757750237244e-05
280;DAVEY_GUDGEON;0;0;1;0;0;0;0;1;1.3998757750237244e-05
281;DRAGOMIR_DESPARD;0;0;0;0;0;0;1;1;1.3998757750237244e-05
282;DEXTER_FORTESCUE;0;0;0;0;0;0;1;1;1.3998757750237244e-05
283;DORCAS_MEADOWES;0;0;0;0;1;0;0;1;1.3998757750237244e-05
284;DORIS_PURKISS;0;0;0;0;1;0;0;1;1.3998757750237244e-05
285;EGBERT_THE_EGREGIOUS;0;0;0;0;0;0;1;1;1.3998757750237244e-05
286;ELEANOR_BRANSTONE;0;0;0;1;0;0;0;1;1.3998757750237244e-05
287;ELFRIDA_CLAGG;0;0;0;0;1;0;0;1;1.3998757750237244e-05
288;ELLADORA_BLACK;0;0;0;0;1;0;0;1;1.3998757750237244e-05
289;ELLIE_CATTERMOLE;0;0;0;0;0;0;1;1;1.3998757750237244e-05
290;EMERIC_THE_EVIL;1;0;0;0;0;0;0;1;1.3998757750237244e-05
291;ERIC_MUNCH;0;0;0;0;1;0;0;1;1.3998757750237244e-05
292;ORRTIZ_OFLAHERTY;0;1;0;0;0;0;0;1;1.3998757750237244e-05
293;GAWAIN_ROBARDS;0;0;0;0;0;1;0;1;1.3998757750237244e-05
294;GEOFFREY_HOOPER;0;0;0;0;1;0;0;1;1.3998757750237244e-05
295;WILBERT_GIMPEL;0;0;0;1;0;0;0;1;1.3998757750237244e-05
296;HARVEY_RIDGEBIT;1;0;0;0;0;0;0;1;1.3998757750237244e-05
297;HUMPHREY_BELCHER;0;0;0;0;0;1;0;1;1.3998757750237244e-05
298;IGNATIUS_PREWETT;0;0;0;0;1;0;0;1;1.3998757750237244e-05
299;JOEY_JENKINS;0;0;0;1;0;0;0;1;1.3998757750237244e-05
300;KASSANDRA_WABLATSCHKI;0;0;1;0;0;0;0;1;1.3998757750237244e-05
301;KENNETH_TOWLER;0;0;0;0;1;0;0;1;1.3998757750237244e-05
302;KNUTBERT_MOCKRIDGE;0;0;0;1;0;0;0;1;1.3998757750237244e-05
303;LADISLAW_ZAMOJSKI;0;0;0;0;1;0;0;1;1.3998757750237244e-05
304;LAURA_MADLEY;0;0;0;1;0;0;0;1;1.3998757750237244e-05
305;LISA_TURPIN;1;0;0;0;0;0;0;1;1.3998757750237244e-05
306;LIVIUS;0;0;0;0;0;0;1;1;1.3998757750237244e-05
307;MANDY_BROCKLEHURST;1;0;0;0;0;0;0;1;1.3998757750237244e-05
308;MARIUS_BLACK;0;0;0;0;0;0;1;1;1.3998757750237244e-05
309;MARTIN_BECCLES;0;1;0;0;0;0;0;1;1.3998757750237244e-05
310;MARY_CATTERMOLE;0;0;0;0;0;0;1;1;1.3998757750237244e-05
311;MORAG_MACDOUGAL;1;0;0;0;0;0;0;1;1.3998757750237244e-05
312;MR_OBLANSK;0;0;0;1;0;0;0;1;1.3998757750237244e-05
313;OWEN_CLAUDWELL;0;0;0;1;0;0;0;1;1.3998757750237244e-05
314;PATRICIA_STIMPSON;0;0;0;0;1;0;0;1;1.3998757750237244e-05
315;POLIAKOFF;0;0;0;1;0;0;0;1;1.3998757750237244e-05
316;RODDY_PONTNER;0;0;0;1;0;0;0;1;1.3998757750237244e-05
317;ROSE_ZELLER;0;0;0;0;1;0;0;1;1.3998757750237244e-05
318;SAVAGE;0;0;0;0;0;1;0;1;1.3998757750237244e-05
319;SCORPIUS_MALFOY;0;0;0;0;0;0;1;1;1.3998757750237244e-05
320;TERENCE_HIGGS;1;0;0;0;0;0;0;1;1.3998757750237244e-05
321;VINDICTUS_VIRIDIAN;1;0;0;0;0;0;0;1;1.3998757750237244e-05
322;WAKANDA;0;0;0;0;0;0;1;1;1.3998757750237244e-05
323;WILKES;0;0;0;1;0;0;0;1;1.3998757750237244e-05
324;ALBUS_POTTER;0;0;0;0;0;0;0;0;0.0
325;ARCHIBALD_ALDERTON;0;0;0;0;0;0;0;0;0.0
326;ALIE_BADEEA;0;0;0;0;0;0;0;0;0.0
327;AVERY_JR;0;0;0;0;0;0;0;0;0.0
